Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1975.08.30,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4409568.png,"Roteiro, Infantis, segundo item",4409568h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.08.31,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,4409803.png,"Roteiro, Infantis, terceiro item",4409803h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.06,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4369845.png,"Roteiro, Infantis, segundo item",4369845h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4370378.png,"Roteiro, Infantis, segundo item",4370378h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.13,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4372492.png,"Roteiro, Infantis, segundo item",4372492h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.14,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4373096.png,"Roteiro, Infantis, segundo item",4373096h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.20,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4406679.png,"Roteiro, Infantis, terceiro item",4406679h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.27,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4408808.png,"Terceira coluna geral, primeiro item",4408808h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.09.28,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4409219.png,"Roteiro, Infantis, antepenultimo item",4409219h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
1975.10.04,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4376988.png,"Roteiro, Infantis, penultimo item",4376988h.png,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",Baixo,
