Data,Arquivo,Publicação,UF,Outras informações da publicação,Tipo,Assunto,Complemento,Localização,Recorte,Interesse,Imagem original,Onde está,Mais
1975.06.29,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4404570h.png,Baixo,4404570.png,"Segunda coluna geral, penultimo item",
1975.07.05,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4354612h.png,Baixo,4354612.png,"Terceira coluna geral, antepenultimo item",
1975.07.06,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,Coreografia de Luis Carlos Nogueira,"Sala do Meio, Teatro Ruth Escobar - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",4355374h.png,Baixo,4355374.png,"Terceira coluna geral, antepenultimo item",
1975.08.23,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4407629h.png,Baixo,4407629.png,"Roteiro, Infantis, segundo item",
1975.08.24,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4407964h.png,Baixo,4407964.png,"Roteiro, Infantis, segundo item",
1975.08.30,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4409568h.png,Baixo,4409568.png,"Roteiro, Infantis, segundo item",
1975.08.31,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Primeiro Caderno,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4409803h.png,Baixo,4409803.png,"Roteiro, Infantis, terceiro item",
1975.09.06,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4369845h.png,Baixo,4369845.png,"Roteiro, Infantis, segundo item",
1975.09.07,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4370378h.png,Baixo,4370378.png,"Roteiro, Infantis, segundo item",
1975.09.13,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,Teatro,O Mais Belo dos Paraísos,2o tipo do anuncio,"Teatro Itália – Av. São Luís, 50, República, São Paulo, SP",4372492h.png,Baixo,4372492.png,"Roteiro, Infantis, segundo item",
